calc_time,funding_interval_hours,last_funding_rate
1712246400000,8,0.00010000
1712246400000,8,0.00010000
1712246400000,8,0.00010000
1712246400000,8,0.00010000
1712246400000,8,0.00010000
1712246400000,8,0.00010000
1712246400000,8,0.00010000
1712246400000,8,0.00010000
1712246400000,8,0.00010000
1712246400000,8,0.00010000
1712246400000,8,0.00010000
1712246400000,8,0.00010000
1712246400000,8,0.00010000
1712246400000,8,0.00010000
1712246400000,8,0.00010000
1712246400000,8,0.00010000
1712275200000,8,0.00010000
1712275200000,8,0.00010000
1712275200000,8,0.00010000
1712275200000,8,0.00010000
1712275200000,8,0.00010000
1712275200000,8,0.00010000
1712275200000,8,0.00010000
1712275200000,8,0.00010000
1712275200000,8,0.00010000
1712275200000,8,0.00010000
1712275200000,8,0.00010000
1712275200000,8,0.00010000
1712275200000,8,0.00010000
1712275200000,8,0.00010000
1712275200000,8,0.00010000
1712275200000,8,0.00010000
1712275200000,8,0.00010000
1712275200000,8,0.00010000
1712275200000,8,0.00010000
1712275200000,8,0.00010000
1712275200000,8,0.00010000
1712275200000,8,0.00010000
1712275200000,8,0.00010000
1712275200000,8,0.00010000
1712275200000,8,0.00010000
1712275200000,8,0.00010000
1712304000000,8,0.00018034
1712304000000,8,0.00018034
1712304000000,8,0.00018034
1712304000000,8,0.00018034
1712304000000,8,0.00018034
1712304000000,8,0.00018034
1712304000000,8,0.00018034
1712304000000,8,0.00018034
1712304000000,8,0.00018034
1712304000000,8,0.00018034
1712304000000,8,0.00018034
1712304000000,8,0.00018034
1712304000000,8,0.00018034
1712304000000,8,0.00018034
1712304000000,8,0.00018034
1712304000000,8,0.00018034
1712304000000,8,0.00018034
1712304000000,8,0.00018034
1712304000000,8,0.00018034
1712304000000,8,0.00018034
1712304000000,8,0.00018034
1712304000000,8,0.00018034
1712304000000,8,0.00018034
1712304000000,8,0.00018034
1712304000000,8,0.00018034
1712332800000,8,0.00011836
1712332800000,8,0.00011836
1712332800000,8,0.00011836
1712332800000,8,0.00011836
1712332800000,8,0.00011836
1712332800000,8,0.00011836
1712332800000,8,0.00011836
1712332800000,8,0.00011836
1712332800000,8,0.00011836
1712332800000,8,0.00011836
1712332800000,8,0.00011836
1712332800000,8,0.00011836
1712332800000,8,0.00011836
1712332800000,8,0.00011836
1712332800000,8,0.00011836
1712332800000,8,0.00011836
1712332800000,8,0.00011836
1712332800000,8,0.00011836
1712332800000,8,0.00011836
1712332800000,8,0.00011836
1712332800000,8,0.00011836
1712332800000,8,0.00011836
1712332800000,8,0.00011836
1712332800000,8,0.00011836
1712332800000,8,0.00011836
1712361600000,8,0.00010000
1712361600000,8,0.00010000
1712361600000,8,0.00010000
1712361600000,8,0.00010000
1712361600000,8,0.00010000
1712361600000,8,0.00010000
1712361600000,8,0.00010000
1712361600000,8,0.00010000
1712361600000,8,0.00010000
1712361600000,8,0.00010000
1712361600000,8,0.00010000
1712361600000,8,0.00010000
1712361600000,8,0.00010000
1712361600000,8,0.00010000
1712361600000,8,0.00010000
1712361600000,8,0.00010000
1712361600000,8,0.00010000
1712361600000,8,0.00010000
1712361600000,8,0.00010000
1712361600000,8,0.00010000
1712361600000,8,0.00010000
1712361600000,8,0.00010000
1712361600000,8,0.00010000
1712361600000,8,0.00010000
1712361600000,8,0.00010000
1712390400000,8,0.00010000
1712390400000,8,0.00010000
1712390400000,8,0.00010000
1712390400000,8,0.00010000
1712390400000,8,0.00010000
1712390400000,8,0.00010000
1712390400000,8,0.00010000
1712390400000,8,0.00010000
1712390400000,8,0.00010000
1712390400000,8,0.00010000
1712390400000,8,0.00010000
1712390400000,8,0.00010000
1712390400000,8,0.00010000
1712390400000,8,0.00010000
1712390400000,8,0.00010000
1712390400000,8,0.00010000
1712390400000,8,0.00010000
1712390400000,8,0.00010000
1712390400000,8,0.00010000
1712390400000,8,0.00010000
1712390400000,8,0.00010000
1712390400000,8,0.00010000
1712390400000,8,0.00010000
1712390400000,8,0.00010000
1712419200000,8,0.00012897
1712419200000,8,0.00012897
1712419200000,8,0.00012897
1712419200000,8,0.00012897
1712419200000,8,0.00012897
1712419200000,8,0.00012897
1712419200000,8,0.00012897
1712419200000,8,0.00012897
1712419200000,8,0.00012897
1712419200000,8,0.00012897
1712419200000,8,0.00012897
1712419200000,8,0.00012897
1712419200000,8,0.00012897
1712419200000,8,0.00012897
1712419200000,8,0.00012897
1712419200000,8,0.00012897
1712419200000,8,0.00012897
1712419200000,8,0.00012897
1712419200000,8,0.00012897
1712419200000,8,0.00012897
1712419200000,8,0.00012897
1712419200000,8,0.00012897
1712419200000,8,0.00012897
1712419200000,8,0.00012897
1712448000000,8,0.00011288
1712448000000,8,0.00011288
1712448000000,8,0.00011288
1712448000000,8,0.00011288
1712448000000,8,0.00011288
1712448000000,8,0.00011288
1712448000000,8,0.00011288
1712448000000,8,0.00011288
1712448000000,8,0.00011288
1712448000000,8,0.00011288
1712448000000,8,0.00011288
1712448000000,8,0.00011288
1712448000000,8,0.00011288
1712448000000,8,0.00011288
1712448000000,8,0.00011288
1712448000000,8,0.00011288
1712448000000,8,0.00011288
1712448000000,8,0.00011288
1712448000000,8,0.00011288
1712448000000,8,0.00011288
1712448000000,8,0.00011288
1712448000000,8,0.00011288
1712448000000,8,0.00011288
1712448000000,8,0.00011288
1712476800000,8,0.00010000
1712476800000,8,0.00010000
1712476800000,8,0.00010000
1712476800000,8,0.00010000
1712476800000,8,0.00010000
1712476800000,8,0.00010000
1712476800000,8,0.00010000
1712476800000,8,0.00010000
1712476800000,8,0.00010000
1712476800000,8,0.00010000
1712476800000,8,0.00010000
1712476800000,8,0.00010000
1712476800000,8,0.00010000
1712476800000,8,0.00010000
1712476800000,8,0.00010000
1712476800000,8,0.00010000
1712476800000,8,0.00010000
1712476800000,8,0.00010000
1712476800000,8,0.00010000
1712476800000,8,0.00010000
1712476800000,8,0.00010000
1712476800000,8,0.00010000
1712476800000,8,0.00010000
1712505600000,8,0.00010000
1712505600000,8,0.00010000
1712505600000,8,0.00010000
1712505600000,8,0.00010000
1712505600000,8,0.00010000
1712505600000,8,0.00010000
1712505600000,8,0.00010000
1712505600000,8,0.00010000
1712505600000,8,0.00010000
1712505600000,8,0.00010000
1712505600000,8,0.00010000
1712505600000,8,0.00010000
1712505600000,8,0.00010000
1712505600000,8,0.00010000
1712505600000,8,0.00010000
1712505600000,8,0.00010000
1712505600000,8,0.00010000
1712505600000,8,0.00010000
1712505600000,8,0.00010000
1712505600000,8,0.00010000
1712505600000,8,0.00010000
1712505600000,8,0.00010000
1712505600000,8,0.00010000
1712534400000,8,0.00010000
1712534400000,8,0.00010000
1712534400000,8,0.00010000
1712534400000,8,0.00010000
1712534400000,8,0.00010000
1712534400000,8,0.00010000
1712534400000,8,0.00010000
1712534400000,8,0.00010000
1712534400000,8,0.00010000
1712534400000,8,0.00010000
1712534400000,8,0.00010000
1712534400000,8,0.00010000
1712534400000,8,0.00010000
1712534400000,8,0.00010000
1712534400000,8,0.00010000
1712534400000,8,0.00010000
1712534400000,8,0.00010000
1712534400000,8,0.00010000
1712534400000,8,0.00010000
1712534400000,8,0.00010000
1712534400000,8,0.00010000
1712534400000,8,0.00010000
1712534400000,8,0.00010000
1712563200000,8,0.00010000
1712563200000,8,0.00010000
1712563200000,8,0.00010000
1712563200000,8,0.00010000
1712563200000,8,0.00010000
1712563200000,8,0.00010000
1712563200000,8,0.00010000
1712563200000,8,0.00010000
1712563200000,8,0.00010000
1712563200000,8,0.00010000
1712563200000,8,0.00010000
1712563200000,8,0.00010000
1712563200000,8,0.00010000
1712563200000,8,0.00010000
1712563200000,8,0.00010000
1712563200000,8,0.00010000
1712563200000,8,0.00010000
1712563200000,8,0.00010000
1712563200000,8,0.00010000
1712563200000,8,0.00010000
1712563200000,8,0.00010000
1712563200000,8,0.00010000
1712592000000,8,0.00017808
1712592000000,8,0.00017808
1712592000000,8,0.00017808
1712592000000,8,0.00017808
